2021-03-19 00:38:44.988839: Observing: GPS-BIIF-3---PRN-24-
2021-03-19 01:48:07.439511 [4.444444444444445, 0.0]
2021-03-19 01:48:41.615473: Observing: GPS-BIIRM-3--PRN-12-
2021-03-19 01:48:41.615519: Az, el, state: 153.65, 69.71, Setting
2021-03-19 01:48:42.875244 [0.0, 4.444444444444445]
2021-03-19 01:49:49.454704 [0.0, 1.1111111111111112]
2021-03-19 01:50:23.318949 [0.0, 0.0]
2021-03-19 01:50:57.596003 [0.0, -1.1111111111111112]
2021-03-19 01:51:29.618464 [0.0, -4.444444444444445]
2021-03-19 01:52:03.316811 [-4.444444444444445, 0.0]
2021-03-19 01:52:40.530748 [-1.1111111111111112, 0.0]
2021-03-19 01:53:14.366040 [0.0, 0.0]
2021-03-19 01:53:46.465934 [1.1111111111111112, 0.0]
2021-03-19 01:54:20.402572 [4.444444444444445, 0.0]
2021-03-19 01:54:54.657293 [0.0, 4.444444444444445]
2021-03-19 01:55:32.418980 [0.0, 1.1111111111111112]
2021-03-19 01:56:09.607891 [0.0, 0.0]
2021-03-19 01:56:41.402644 [0.0, -1.1111111111111112]
2021-03-19 01:57:12.345403 [0.0, -4.444444444444445]
2021-03-19 01:57:46.535189 [-4.444444444444445, 0.0]
2021-03-19 01:58:20.394791 [-1.1111111111111112, 0.0]
2021-03-19 01:58:54.509579 [0.0, 0.0]
2021-03-19 01:59:25.547441 [1.1111111111111112, 0.0]
2021-03-19 01:59:56.401155 [4.444444444444445, 0.0]
2021-03-19 02:00:33.766895: Observing: GPS-BIIF-1---PRN-25-
2021-03-19 02:00:33.766932: Az, el, state: 156.11, 63.63, Setting
2021-03-19 02:00:35.187708 [0.0, 4.444444444444445]
2021-03-19 02:01:09.393539 [0.0, 1.1111111111111112]
2021-03-19 02:01:43.786784 [0.0, 0.0]
2021-03-19 02:02:18.439989 [0.0, -1.1111111111111112]
2021-03-19 02:02:49.408828 [0.0, -4.444444444444445]
2021-03-19 02:03:23.275203 [-4.444444444444445, 0.0]
2021-03-19 02:04:00.825142 [-1.1111111111111112, 0.0]
2021-03-19 02:04:34.479133 [0.0, 0.0]
2021-03-19 02:05:05.546479 [1.1111111111111112, 0.0]
2021-03-19 02:05:36.331919 [4.444444444444445, 0.0]
2021-03-19 02:06:10.369071 [0.0, 4.444444444444445]
2021-03-19 02:06:44.562852 [0.0, 1.1111111111111112]
2021-03-19 02:07:18.456919 [0.0, 0.0]
2021-03-19 02:07:52.281690 [0.0, -1.1111111111111112]
2021-03-19 02:08:26.264101 [0.0, -4.444444444444445]
2021-03-19 02:09:00.805906 [-4.444444444444445, 0.0]
2021-03-19 02:09:34.504199 [-1.1111111111111112, 0.0]
2021-03-19 02:10:08.423566 [0.0, 0.0]
2021-03-19 02:10:39.502172 [1.1111111111111112, 0.0]
2021-03-19 02:11:10.403482 [4.444444444444445, 0.0]
2021-03-19 02:11:41.836114: Observing: GPS-BIIF-1---PRN-25-
2021-03-19 02:11:41.836152: Az, el, state: 158.03, 57.96, Setting
2021-03-19 02:11:42.902925 [0.0, 4.444444444444445]
2021-03-19 02:12:17.291481 [0.0, 1.1111111111111112]
2021-03-19 02:12:51.561750 [0.0, 0.0]
2021-03-19 02:13:25.488162 [0.0, -1.1111111111111112]
2021-03-19 02:13:56.377437 [0.0, -4.444444444444445]
2021-03-19 02:14:30.463441 [-4.444444444444445, 0.0]
2021-03-19 02:15:07.536811 [-1.1111111111111112, 0.0]
2021-03-19 02:15:42.294117 [0.0, 0.0]
2021-03-19 02:16:13.672120 [1.1111111111111112, 0.0]
2021-03-19 02:16:48.316617 [4.444444444444445, 0.0]
2021-03-19 02:17:22.291080 [0.0, 4.444444444444445]
2021-03-19 02:17:59.310906 [0.0, 1.1111111111111112]
2021-03-19 02:18:33.357125 [0.0, 0.0]
2021-03-19 02:19:07.397667 [0.0, -1.1111111111111112]
2021-03-19 02:19:38.704358 [0.0, -4.444444444444445]
