,Drift_Rate,SNR,Index,Uncorrected_Frequency,Corrected_Frequency,freq_start,freq_end,Coarse_Channel_Number,Full_number_of_hits,dat_name,fil_0000,fil_0001,normalized_dr,SNR_ratio_0001,0000_x_0001,SNR_ratio,x
20,0.029796,16.10623,813575,9333.435956,9333.435956,9333.436082,9333.435831,1,42452,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0001.fil,0.003192393427053417,3.430343418626115,0.9261563678837452,3.430343418626115,0.9261563678837452
21,-0.121171,12.457382,406769,9333.435993,9333.435993,9333.436245,9333.435742,1,10934,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0001.fil,-0.012982463994963516,1.6855615815093419,0.7413353161173342,1.6855615815093419,0.7413353161173342
22,-0.042708,11.162274,812755,9333.436776,9333.436776,9333.436902,9333.436651,1,42452,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0001.fil,-0.004575806366768108,3.4145323800919343,0.9233020972990789,3.4145323800919343,0.9233020972990789
23,29.494286,15.469023,1572,9333.444672,9333.444672,9333.509221,9333.380635,1,124,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0001.fil,3.1600425200887043,0.9905421574918181,0.6569879099584711,0.9905421574918181,0.6569879099584711
24,12.713054,29.176138,3133,9333.447489,9333.447489,9333.479764,9333.415471,1,124,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0001.fil,1.3620915587169637,0.9905080324390912,0.6582565336574608,0.9905080324390912,0.6582565336574608
25,3.62322,51.877136,12507,9333.44909,9333.44909,9333.457159,9333.441086,1,372,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0001.fil,0.3881969926337774,0.9830006341789808,0.6579881781875837,0.9830006341789808,0.6579881781875837
26,0.572087,95.536057,49998,9333.44957,9333.44957,9333.451588,9333.447569,1,1426,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0001.fil,0.06129425910726651,0.9813598762060167,0.6579318336301961,0.9813598762060167,0.6579318336301961
27,-0.023837,207.267471,799874,9333.449665,9333.449665,9333.449791,9333.449539,1,42452,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0001.fil,-0.0025539324187488954,3.230553307478186,0.9283942731217393,3.230553307478186,0.9283942731217393
28,-0.107266,175.636169,399924,9333.449691,9333.449691,9333.449943,9333.44944,1,10934,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0001.fil,-0.011492642126446342,0.9099014525111834,0.6240383808780926,0.9099014525111834,0.6240383808780926
29,-0.444957,99.961029,99974,9333.449747,9333.449747,9333.450755,9333.448746,1,2790,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0001.fil,-0.04767336451222322,0.9808110648888243,0.6578153427516366,0.9808110648888243,0.6578153427516366
30,-1.430219,72.381836,24987,9333.449955,9333.449955,9333.453989,9333.445952,1,744,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0001.fil,-0.1532357690610136,0.9818644575615211,0.657976374801145,0.9818644575615211,0.657976374801145
31,-0.018871,169.117798,799559,9333.44998,9333.44998,9333.450106,9333.449855,1,42452,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0001.fil,-0.002021867560835708,0.24660526679414504,0.6056728046609738,0.24660526679414504,0.6056728046609738
32,-0.07747,148.166,399774,9333.449991,9333.449991,9333.450243,9333.449741,1,10934,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node8.0/fil_59892_20101_291162841_trappist1_0001-beam0001.fil,-0.008300253173589452,0.40608465882792694,0.6466392065738207,0.40608465882792694,0.6466392065738207
